userName,score,content,at,cleaning,case_folding,normalization,stopword_removal,translated_review,sentiment
key,5,"banyak promo, mantapppp🔥",2026-03-31 08:38:35,banyak promo,banyak promo,banyak promo,banyak promo,lots of promotions,neutral
Mustika Farma,1,drivernya Ndak sopan karna motornya hampir nyeruduk pintu kaca apotek.,2026-03-31 08:35:19,drivernya ndak sopan karna motornya hampir nyeruduk pintu kaca apotek,drivernya ndak sopan karna motornya hampir nyeruduk pintu kaca apotek,drivernya indak sopan karena motornya hampir nyeruduk pintu kaca apotek,drivernya indak sopan karena motornya hampir nyeruduk pintu kaca apotek,the driver was rude because his motorbike almost crashed through the glass door of the pharmacy,negative
Ickhar Jili pratama,1,gajelas driver pilih pilih banget aplikasi gj hapus dri playstore aj,2026-03-31 08:28:38,gajelas driver pilih pilih banget aplikasi hapus dri playstore,gajelas driver pilih pilih banget aplikasi hapus dri playstore,enggak jelas driver pilih pilih banget aplikasi hapus dari playstore,enggak jelas driver pilih pilih aplikasi hapus playstore,"it's not clear, select the driver, select the application, delete playstore",negative
zacky wow raditya,5,"good aplikasi, rekomendasi untuk yang mau berpergian",2026-03-31 08:07:31,good aplikasi rekomendasi untuk yang mau berpergian,good aplikasi rekomendasi untuk yang mau berpergian,good aplikasi rekomendasi untuk yang mau bepergian,good aplikasi untuk yang mau bepergian,good application for those who want to travel,positive
Andriana Rahman,5,good,2026-03-31 08:07:22,good,good,good,good,good,positive
Nofri Yanti,5,suka dg aplikasi ini sangat membantu,2026-03-31 08:04:22,suka aplikasi ini sangat membantu,suka aplikasi ini sangat membantu,suka aplikasi ini sangat membantu,suka aplikasi ini sangat membantu,love this app very helpful,positive
Ani Lestari,5,terimakasih Sampai tepat waktu,2026-03-31 07:54:38,terimakasih sampai tepat waktu,terimakasih sampai tepat waktu,terimakasih sampai tepat waktu,terimakasih sampai tepat waktu,thank you arrived on time,neutral
Mauana Hidayat,5,ok mantap,2026-03-31 07:49:03,ok mantap,ok mantap,baik mantap,baik mantap,"good, steady",positive
Ron Imron,5,pelayan aman sopan,2026-03-31 07:45:22,pelayan aman sopan,pelayan aman sopan,pelayan aman sopan,pelayan aman sopan,polite safe waiters,positive
Ikhsan Setyo,5,Bagus dan cepat saat memesan gojek dan prosesnya tidak lama,2026-03-31 07:43:02,bagus dan cepat saat memesan gojek dan prosesnya tidak lama,bagus dan cepat saat memesan gojek dan prosesnya tidak lama,bagus dan cepat saat memesan gojek dan prosesnya tidak lama,bagus dan cepat saat memesan gojek dan prosesnya tidak lama,good and fast when ordering gojek and the process doesn't take long,positive
