userName,score,content,at,clean_content,sentiment,cleaning,case_folding,normalization,stopword_removal
key,5,"banyak promo, mantapppp🔥",2026-03-31 08:38:35,banyak promo mantapppp,positif,banyak promo,banyak promo,banyak promo,banyak promo
Mustika Farma,1,drivernya Ndak sopan karna motornya hampir nyeruduk pintu kaca apotek.,2026-03-31 08:35:19,drivernya ndak sopan karna motornya hampir nyeruduk pintu kaca apotek,negatif,drivernya ndak sopan karna motornya hampir nyeruduk pintu kaca apotek,drivernya ndak sopan karna motornya hampir nyeruduk pintu kaca apotek,drivernya indak sopan karena motornya hampir nyeruduk pintu kaca apotek,drivernya indak sopan karena motornya hampir nyeruduk pintu kaca apotek
Ickhar Jili pratama,1,gajelas driver pilih pilih banget aplikasi gj hapus dri playstore aj,2026-03-31 08:28:38,gajelas driver pilih pilih banget aplikasi gj hapus dri playstore aj,negatif,gajelas driver pilih pilih banget aplikasi hapus dri playstore,gajelas driver pilih pilih banget aplikasi hapus dri playstore,enggak jelas driver pilih pilih banget aplikasi hapus dari playstore,enggak jelas driver pilih pilih aplikasi hapus playstore
zacky wow raditya,5,"good aplikasi, rekomendasi untuk yang mau berpergian",2026-03-31 08:07:31,good aplikasi rekomendasi untuk yang mau berpergian,positif,good aplikasi rekomendasi untuk yang mau berpergian,good aplikasi rekomendasi untuk yang mau berpergian,good aplikasi rekomendasi untuk yang mau bepergian,good aplikasi untuk yang mau bepergian
Andriana Rahman,5,good,2026-03-31 08:07:22,good,positif,good,good,good,good
Nofri Yanti,5,suka dg aplikasi ini sangat membantu,2026-03-31 08:04:22,suka dg aplikasi ini sangat membantu,positif,suka aplikasi ini sangat membantu,suka aplikasi ini sangat membantu,suka aplikasi ini sangat membantu,suka aplikasi ini sangat membantu
Ani Lestari,5,terimakasih Sampai tepat waktu,2026-03-31 07:54:38,terimakasih sampai tepat waktu,positif,terimakasih sampai tepat waktu,terimakasih sampai tepat waktu,terimakasih sampai tepat waktu,terimakasih sampai tepat waktu
Mauana Hidayat,5,ok mantap,2026-03-31 07:49:03,ok mantap,positif,ok mantap,ok mantap,baik mantap,baik mantap
Ron Imron,5,pelayan aman sopan,2026-03-31 07:45:22,pelayan aman sopan,positif,pelayan aman sopan,pelayan aman sopan,pelayan aman sopan,pelayan aman sopan
Ikhsan Setyo,5,Bagus dan cepat saat memesan gojek dan prosesnya tidak lama,2026-03-31 07:43:02,bagus dan cepat saat memesan gojek dan prosesnya tidak lama,positif,bagus dan cepat saat memesan gojek dan prosesnya tidak lama,bagus dan cepat saat memesan gojek dan prosesnya tidak lama,bagus dan cepat saat memesan gojek dan prosesnya tidak lama,bagus dan cepat saat memesan gojek dan prosesnya tidak lama
Watiyem Mm,3,"kenaoa aplukasunya dibuka lelet banget serink blank putih,padahal saya sering banget pakai gojek",2026-03-31 07:35:46,kenaoa aplukasunya dibuka lelet banget serink blank putihpadahal saya sering banget pakai gojek,netral,kenaoa aplukasunya dibuka lelet banget serink putih padahal saya sering banget pakai gojek,kenaoa aplukasunya dibuka lelet banget serink putih padahal saya sering banget pakai gojek,kenaoa aplukasunya dibuka lelet banget serik putih padahal saya sering banget pakai gojek,kenaoa aplukasunya dibuka lelet serik putih saya sering pakai gojek
Amrullah,5,sangat membantu disaat saat yg mendedak,2026-03-31 07:33:10,sangat membantu disaat saat yg mendedak,positif,sangat membantu disaat saat mendedak,sangat membantu disaat saat mendedak,sangat membantu disayat saat mendedak,sangat membantu disayat saat mendedak
Fauzan Ramadhan,5,bagus,2026-03-31 07:30:07,bagus,positif,bagus,bagus,bagus,bagus
FAHRUL PATTIKUPANG,5,good,2026-03-31 07:28:44,good,positif,good,good,good,good
Ham Mdc278,5,aplikasi terbaik dan terbagus,2026-03-31 07:26:22,aplikasi terbaik dan terbagus,positif,aplikasi terbaik dan terbagus,aplikasi terbaik dan terbagus,aplikasi terbaik dan terbagus,aplikasi terbaik dan terbagus
Kristina Tina,5,terima kasih,2026-03-31 07:10:58,terima kasih,positif,terima kasih,terima kasih,terima kasih,terima kasih
Sakhuri,5,memuaskan,2026-03-31 07:10:52,memuaskan,positif,memuaskan,memuaskan,memuaskan,memuaskan
Kartika Fitrazari,1,"driver gojeknya kurang ajar, numpang berteduh di depan rmh orang tp motornya di naikin sampe hampir nyeruduk pintu rmh, di kasi tau baik2 malah nyolot. gimana sih ini gojek milih driver tp TDK sopan.",2026-03-31 07:01:18,driver gojeknya kurang ajar numpang berteduh di depan rmh orang tp motornya di naikin sampe hampir nyeruduk pintu rmh di kasi tau baik malah nyolot gimana sih ini gojek milih driver tp tdk sopan,negatif,driver gojeknya kurang ajar numpang berteduh depan orang motornya naikin sampe hampir nyeruduk pintu kasi tau malah nyolot gimana sih ini gojek milih driver sopan,driver gojeknya kurang ajar numpang berteduh depan orang motornya naikin sampe hampir nyeruduk pintu kasi tau malah nyolot gimana sih ini gojek milih driver sopan,driver gojeknya kurang ajar numpang berteduh depan orang motornya naikin sampai hampir nyeruduk pintu kasih tau malah menyolot bagaimana sih ini gojek memilih driver sopan,driver gojeknya kurang ajar numpang berteduh orang motornya naikin sampai hampir nyeruduk pintu kasih malah menyolot bagaimana ini gojek memilih driver sopan
