userName,score,content,at,clean_content,sentiment
key,5,"banyak promo, mantapppp🔥",2026-03-31 08:38:35,banyak promo mantapppp,positif
Mustika Farma,1,drivernya Ndak sopan karna motornya hampir nyeruduk pintu kaca apotek.,2026-03-31 08:35:19,drivernya ndak sopan karna motornya hampir nyeruduk pintu kaca apotek,negatif
Ickhar Jili pratama,1,gajelas driver pilih pilih banget aplikasi gj hapus dri playstore aj,2026-03-31 08:28:38,gajelas driver pilih pilih banget aplikasi gj hapus dri playstore aj,negatif
zacky wow raditya,5,"good aplikasi, rekomendasi untuk yang mau berpergian",2026-03-31 08:07:31,good aplikasi rekomendasi untuk yang mau berpergian,positif
Andriana Rahman,5,good,2026-03-31 08:07:22,good,positif
Nofri Yanti,5,suka dg aplikasi ini sangat membantu,2026-03-31 08:04:22,suka dg aplikasi ini sangat membantu,positif
Ani Lestari,5,terimakasih Sampai tepat waktu,2026-03-31 07:54:38,terimakasih sampai tepat waktu,positif
Mauana Hidayat,5,ok mantap,2026-03-31 07:49:03,ok mantap,positif
Ron Imron,5,pelayan aman sopan,2026-03-31 07:45:22,pelayan aman sopan,positif
Ikhsan Setyo,5,Bagus dan cepat saat memesan gojek dan prosesnya tidak lama,2026-03-31 07:43:02,bagus dan cepat saat memesan gojek dan prosesnya tidak lama,positif
Watiyem Mm,3,"kenaoa aplukasunya dibuka lelet banget serink blank putih,padahal saya sering banget pakai gojek",2026-03-31 07:35:46,kenaoa aplukasunya dibuka lelet banget serink blank putihpadahal saya sering banget pakai gojek,netral
Amrullah,5,sangat membantu disaat saat yg mendedak,2026-03-31 07:33:10,sangat membantu disaat saat yg mendedak,positif
Fauzan Ramadhan,5,bagus,2026-03-31 07:30:07,bagus,positif
FAHRUL PATTIKUPANG,5,good,2026-03-31 07:28:44,good,positif
Ham Mdc278,5,aplikasi terbaik dan terbagus,2026-03-31 07:26:22,aplikasi terbaik dan terbagus,positif
Kristina Tina,5,terima kasih,2026-03-31 07:10:58,terima kasih,positif
Sakhuri,5,memuaskan,2026-03-31 07:10:52,memuaskan,positif
Kartika Fitrazari,1,"driver gojeknya kurang ajar, numpang berteduh di depan rmh orang tp motornya di naikin sampe hampir nyeruduk pintu rmh, di kasi tau baik2 malah nyolot. gimana sih ini gojek milih driver tp TDK sopan.",2026-03-31 07:01:18,driver gojeknya kurang ajar numpang berteduh di depan rmh orang tp motornya di naikin sampe hampir nyeruduk pintu rmh di kasi tau baik malah nyolot gimana sih ini gojek milih driver tp tdk sopan,negatif
Muh Ridwan,5,Mantap...,2026-03-31 06:59:19,mantap,positif
Hary Anto,5,keren,2026-03-31 06:55:54,keren,positif
MyCha Dwi,5,"ini aplikasi gocar saya ko gk bisa dipakai kenapa saldo saya masih banyak,, pengen ngamuk saya kalau gini, semakin error aja ini",2026-03-31 06:53:32,ini aplikasi gocar saya ko gk bisa dipakai kenapa saldo saya masih banyak pengen ngamuk saya kalau gini semakin error aja ini,positif
Safia Maulida,5,sangat membantu,2026-03-31 06:46:15,sangat membantu,positif
unay bastiansyah,5,memuaskan,2026-03-31 06:45:56,memuaskan,positif
kriss boy channel,5,"Murah,cocok buat berangkat kerja",2026-03-31 06:45:25,murahcocok buat berangkat kerja,positif
Salsabhila Nazhifa Amelia,4,bagus,2026-03-31 06:38:17,bagus,positif
Muzie Taher,4,"Solusi terbaik,untuk menghemat waktu",2026-03-31 06:34:16,solusi terbaikuntuk menghemat waktu,positif
kareen draka,5,bagus aplikasinya lancar buat transportasi luar maupun dalam kota.,2026-03-31 06:32:22,bagus aplikasinya lancar buat transportasi luar maupun dalam kota,positif
Zaky Kiya,5,Bagus banget cepat,2026-03-31 06:24:54,bagus banget cepat,positif
Farah Dwi destaviani,5,BESSSSSTTTTT,2026-03-31 06:24:09,besssssttttt,positif
Marno Marno,5,ya gitu deh,2026-03-31 06:18:12,ya gitu deh,positif
pemi mjp,5,baguss,2026-03-31 06:11:19,baguss,positif
Nizar Zaidi Hasfi,5,cakep,2026-03-31 05:56:45,cakep,positif
Ilham Musidiq,4,good,2026-03-31 05:56:32,good,positif
Mery Andriana,1,"kebiasaan ngasih driver yang jauh, orang butuh cepat jadinya telat terus walaupun udah pesan 30menit sebelumnya",2026-03-31 05:51:23,kebiasaan ngasih driver yang jauh orang butuh cepat jadinya telat terus walaupun udah pesan menit sebelumnya,negatif
Ferri Nita Kumalasari,5,bagus,2026-03-31 05:46:10,bagus,positif
Maulana Maulana,5,sagat bagus dan membantu,2026-03-31 05:46:02,sagat bagus dan membantu,positif
shrantingjetisjogja,5,ok,2026-03-31 05:43:33,ok,positif
Agung Kurnia,3,"order driver lama,kalo sekalinya dapet,jaraknya jauh,sama drivernya juga suka nge cancle,karna dari aplikasinya.",2026-03-31 05:42:00,order driver lamakalo sekalinya dapetjaraknya jauhsama drivernya juga suka nge canclekarna dari aplikasinya,netral
Samsung Galaxys23fe,5,terbantu sangat 1.untuk perantauan seperti saya terkadang jalan yang saya ga tau jadi tau 2. merasa aman ga takut kesasar 3. terbantu untuk transportasi umum bila butuh cepat dan tepat waktu,2026-03-31 05:36:30,terbantu sangat untuk perantauan seperti saya terkadang jalan yang saya ga tau jadi tau merasa aman ga takut kesasar terbantu untuk transportasi umum bila butuh cepat dan tepat waktu,positif
Eko Saryanto,5,mantappp,2026-03-31 05:30:34,mantappp,positif
Fernando Panjaitan,5,grab lebih bagus ada fitur cod kadal Ama biawak,2026-03-31 05:27:32,grab lebih bagus ada fitur cod kadal ama biawak,positif
MuhammadUjang Ujang,5,mudah di dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,2026-03-31 05:21:42,mudah di dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,positif
Ari Ando,1,update terbaru iya.. tp disc voucher digofood jadi hilang.. pesen makanan jadi mahal.. mohon perbaiki lagi,2026-03-31 05:17:52,update terbaru iya tp disc voucher digofood jadi hilang pesen makanan jadi mahal mohon perbaiki lagi,negatif
Diah Iswoyo,5,orangnya ramah enak diajak komunikasih😍😍,2026-03-31 05:10:52,orangnya ramah enak diajak komunikasih,positif
ERLINA YULIANI,4,dapet driver jauh terus deh.,2026-03-31 05:10:06,dapet driver jauh terus deh,positif
Siti Patimah,5,sangat baik,2026-03-31 05:07:09,sangat baik,positif
Aqwam Thariq,5,"Memudahkan kebutuhan kita sehari-hari, baik transportasi maupun pesan makan online",2026-03-31 05:00:55,memudahkan kebutuhan kita seharihari baik transportasi maupun pesan makan online,positif
Juliantara XD323,1,"saya beli kuota, malah nga masuk, aneh bgt, padahal saya pakai kerja lo, klo mau korup jangan sama rakyat kecil,",2026-03-31 04:59:53,saya beli kuota malah nga masuk aneh bgt padahal saya pakai kerja lo klo mau korup jangan sama rakyat kecil,negatif
Roeihsadzi,5,"Sangat memudahkan klo naik gojek atw gocar,cm klo anak saya mau brgkt sklh pg,knp GK ada yg mau order ya,apa ongkos nya murah.saran saya klo anak sklh pergi pg,tlg dong di respon,jd anak saya GK bolos lg.",2026-03-31 04:59:36,sangat memudahkan klo naik gojek atw gocarcm klo anak saya mau brgkt sklh pgknp gk ada yg mau order yaapa ongkos nya murahsaran saya klo anak sklh pergi pgtlg dong di responjd anak saya gk bolos lg,positif
endang lestari,5,oke,2026-03-31 04:50:17,oke,positif
Ipoer 1604,5,Pelayan & respon mantaps,2026-03-31 04:42:01,pelayan respon mantaps,positif
muhammad malik SF,1,"driver pada males, pilih² orderan. kalo trip deket ga ada yang mau ambil",2026-03-31 04:41:06,driver pada males pilih orderan kalo trip deket ga ada yang mau ambil,negatif
Agen 188,5,OK,2026-03-31 04:35:43,ok,positif
XXX TENTACION,1,"login akun dan memetakan lokasi lama untuk penguna baru. bisa 10menit+. alasan jaringan ngak ada, padahal bagus lancar",2026-03-31 04:31:36,login akun dan memetakan lokasi lama untuk penguna baru bisa menit alasan jaringan ngak ada padahal bagus lancar,negatif
Wilman Pratama,1,"tengah malem laper susah nyari driver, sampe tokona tutup-_-",2026-03-31 04:06:34,tengah malem laper susah nyari driver sampe tokona tutup,negatif
Rico Ronaldo,5,Nice aplication easy for Journey,2026-03-31 04:06:23,nice aplication easy for journey,positif
NAUFAL,5,banyakin promo,2026-03-31 03:54:20,banyakin promo,positif
Wendra Munib,5,mantap,2026-03-31 03:35:28,mantap,positif
Rp 750,1,app status Mitra rasa karyawan kebijakannya sangat jelek,2026-03-31 03:35:26,app status mitra rasa karyawan kebijakannya sangat jelek,negatif
Otak Atik,2,"payah susah dapet driver giliran dapet di cancel lagi mau ngirim barang susah bener bayar pake gopay gak bisa knp jadi banyak amat masalahnya akhir"" ini",2026-03-31 03:33:31,payah susah dapet driver giliran dapet di cancel lagi mau ngirim barang susah bener bayar pake gopay gak bisa knp jadi banyak amat masalahnya akhir ini,negatif
Ipa SS,5,good,2026-03-31 03:27:34,good,positif
Nurhiyanto Wahyu,5,sangat suport nyaman dan aman,2026-03-31 02:55:59,sangat suport nyaman dan aman,positif
Eris Suryadi,5,muantap,2026-03-31 02:53:14,muantap,positif
Asrori Yahya,5,layanan cepat dan mudah,2026-03-31 02:45:06,layanan cepat dan mudah,positif
jae_054,5,baik,2026-03-31 02:35:58,baik,positif
Jerry Sdt,1,"aplikasi buruk, salah transfer ke no lama yg hp nya ilang minta di aktifkan ke no baru sama dana nya, bukti tf ada KTP ada, no minal masuk dia sudah tau tapi tetep susah banget .... padahal gak besar ampun Banget gojek gopay",2026-03-31 02:28:17,aplikasi buruk salah transfer ke no lama yg hp nya ilang minta di aktifkan ke no baru sama dana nya bukti tf ada ktp ada no minal masuk dia sudah tau tapi tetep susah banget padahal gak besar ampun banget gojek gopay,negatif
Rahmad Efendi,5,ok,2026-03-31 02:24:58,ok,positif
Edi Suryanto,5,aplikasi masa kini yang sangat membantu,2026-03-31 02:19:45,aplikasi masa kini yang sangat membantu,positif
Arif Alhabsi,5,mantap pokoknya,2026-03-31 02:17:24,mantap pokoknya,positif
AL,1,byk GOCAR SERING MENYETUJUI tp tdk merespon chat dan tdk datang,2026-03-31 02:17:04,byk gocar sering menyetujui tp tdk merespon chat dan tdk datang,negatif
luh Putu,5,ok,2026-03-31 01:43:55,ok,positif
Ardy Anggriawan,5,👍,2026-03-31 01:40:46,,positif
Richard Nbbn,5,Pokonya bagi saya pengguna Apknya bagus deh....,2026-03-31 01:13:56,pokonya bagi saya pengguna apknya bagus deh,positif
Edho M Rosyid,1,Rating bagus tapi jadi yang paling sering dirugikan gojek.,2026-03-31 01:05:52,rating bagus tapi jadi yang paling sering dirugikan gojek,negatif
A. Andini Dinda Adisqa,1,"sy pesan makanan dekat rumah tp malah drivernya ambil pesanan saya trus terima orderan lain dan itu lokasinya di Pallangga jauh dari lokasi saya di sungguminasa. mana drivernya gabisa dihubungi, anak saya sampe udah kambuh maagnya nungguin muntah-muntah dia, dan pesanan jg gabisa dibatalin terpaksa pesan dua kali tp bayarnya dua juga",2026-03-31 01:04:03,sy pesan makanan dekat rumah tp malah drivernya ambil pesanan saya trus terima orderan lain dan itu lokasinya di pallangga jauh dari lokasi saya di sungguminasa mana drivernya gabisa dihubungi anak saya sampe udah kambuh maagnya nungguin muntahmuntah dia dan pesanan jg gabisa dibatalin terpaksa pesan dua kali tp bayarnya dua juga,negatif
Dimas Kris,5,Mantaap,2026-03-31 00:40:28,mantaap,positif
Ajat Sudrajat (Adjedoang),5,Mantap,2026-03-31 00:36:22,mantap,positif
Chandra Pradipta,1,Aplikasi penagih hutang,2026-03-31 00:17:14,aplikasi penagih hutang,negatif
